#Hurst Exponent
#Distribution, Hust, Error
Original       ,0.801821,0.000000
Weibull        ,0.781768,0.002355
Normal         ,0.884127,0.000297
Exponential(LR),0.898202,0.000167
Exponential(Me),0.898202,0.000167
Pareto(LR)     ,0.715833,0.003678
Pareto(MLH)    ,0.878708,0.000662
Cauchy         ,0.666297,0.019370
