#Mean
#Distribution, Mean, Error
Original       ,0.054792,0.000000
Weibull        ,0.026974,0.000892
Normal         ,0.112299,0.001037
Exponential(LR),1.268738,0.004069
Exponential(Me),1.894573,0.002648
Pareto(LR)     ,0.054338,0.001335
Pareto(MLH)    ,0.255705,0.003985
Cauchy         ,0.005760,0.000009
