#Standard Deviation
#Distribution, StdDev, Error
Original       ,0.205602,0.000000
Weibull        ,0.137932,0.005170
Normal         ,0.138470,0.000895
Exponential(LR),0.717160,0.001730
Exponential(Me),0.359653,0.005211
Pareto(LR)     ,0.303947,0.004088
Pareto(MLH)    ,0.641444,0.004420
Cauchy         ,0.000660,0.000446
