Date;Time;Severity;TID;This;Function;Message
2017/10/19;19:31:37.864;DEBUG;24903;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:15] -> npackets_mode11 npackets_mode2:0"
2017/10/19;19:31:37.864;DEBUG;24903;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:15]: EthernetII/IP(192.168.1.2, 68.206.150.243)/UDP(35990, 57322)/DNS/payload:60"
2017/10/19;19:31:37.864;DEBUG;24903;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:15]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:37.906;DEBUG;24903;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:15]: EthernetII/IP(192.168.1.2, 68.206.150.243)/UDP(35990, 57322)/DNS/payload:0"
2017/10/19;19:31:37.906;DEBUG;24903;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:15]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:37.966;DEBUG;24903;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[15]"
2017/10/19;19:31:38.001;DEBUG;24904;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:16] -> onTime:0.1 npackets:1 netInterface:h1-eth0"
2017/10/19;19:31:38.001;DEBUG;24904;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:16] -> npackets_mode11 npackets_mode2:0"
2017/10/19;19:31:38.001;DEBUG;24904;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:16]: EthernetII/IP(192.168.1.2, 212.50.132.237)/ICMP/DNS/payload:70"
2017/10/19;19:31:38.001;DEBUG;24904;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:16]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:38.012;DEBUG;24905;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:17] -> onTime:2.22435 npackets:8 netInterface:h1-eth0"
2017/10/19;19:31:38.012;DEBUG;24905;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:17] -> npackets_mode115 npackets_mode2:2"
2017/10/19;19:31:38.012;DEBUG;24905;0;TinsFlow::sendPackets@98;"[../libsimitar/TinsFlow.cpp] [FlowId:17]: EthernetII/IP(192.168.1.2, 68.206.150.243)/TCP(1312, 57322)/NULL/payload:115"
2017/10/19;19:31:38.012;DEBUG;24905;0;TinsFlow::sendPackets@107;"[../libsimitar/TinsFlow.cpp] [FlowId:17]: PacketSender::IP_TCP_SOCKET"
2017/10/19;19:31:38.048;DEBUG;24904;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:16]: EthernetII/IP(192.168.1.2, 212.50.132.237)/ICMP/DNS/payload:0"
2017/10/19;19:31:38.049;DEBUG;24904;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:16]: PacketSender::ICMP_SOCKET"
