#Standard Deviation
#Distribution, StdDev, Error
Original       ,0.205602,0.000000
Weibull        ,0.135573,0.005471
Normal         ,0.138473,0.000622
Exponential(LR),0.718406,0.001670
Exponential(Me),0.364210,0.004751
Pareto(LR)     ,0.298275,0.007275
Pareto(MLH)    ,0.645295,0.004826
Cauchy         ,0.000641,0.000521
