#Hurst Exponent
#Distribution, Hust, Error
Original       ,0.813292,0.000000
Weibull        ,0.766671,0.002052
Normal         ,0.887869,0.000290
Exponential(LR),0.832754,0.000938
Exponential(Me),0.832754,0.000938
Pareto(LR)     ,0.774979,0.002170
Pareto(MLH)    ,0.863253,0.000673
Cauchy         ,0.646603,0.018021
