#Mean
#Distribution, Mean, Error
Original       ,0.142620,0.000000
Weibull        ,0.103127,0.003162
Normal         ,0.278807,0.002233
Exponential(LR),1.823887,0.015292
Exponential(Me),4.487972,0.022656
Pareto(LR)     ,0.080987,0.005655
Pareto(MLH)    ,1.388092,0.016912
Cauchy         ,0.105225,0.000229
