#Standard Deviation
#Distribution, StdDev, Error
Original       ,0.205602,0.000000
Weibull        ,0.138554,0.004906
Normal         ,0.137962,0.000854
Exponential(LR),0.717949,0.001845
Exponential(Me),0.364740,0.004105
Pareto(LR)     ,0.299783,0.006018
Pareto(MLH)    ,0.648736,0.004155
Cauchy         ,0.000609,0.000402
