#Mean
#Distribution, Mean, Error
Original       ,0.054792,0.000000
Weibull        ,0.026272,0.000824
Normal         ,0.111740,0.000879
Exponential(LR),1.271497,0.004691
Exponential(Me),1.893961,0.002221
Pareto(LR)     ,0.053675,0.001646
Pareto(MLH)    ,0.257851,0.004002
Cauchy         ,0.005779,0.000045
