#Hurst Exponent
#Distribution, Hust, Error
Original       ,0.813292,0.000000
Weibull        ,0.766871,0.001908
Normal         ,0.887726,0.000302
Exponential(LR),0.832112,0.001040
Exponential(Me),0.832112,0.001040
Pareto(LR)     ,0.775248,0.001872
Pareto(MLH)    ,0.862314,0.000770
Cauchy         ,0.646882,0.019170
