#Pareto - Cost J(iterations) convergence
#iterations, J(iterations)
584+0i,0.2968153091167743-0.03676514985087204i
585+0i,0.2965980044929398-0.03676400437009768i
586+0i,0.2963818024498281-0.03676286470137183i
587+0i,0.296166697393061-0.03676173081520481i
588+0i,0.2959526837566452-0.0367606026822565i
589+0i,0.2957397560028291-0.03675948027333567i
590+0i,0.2955279086219589-0.03675836355939924i
591+0i,0.2953171361323367-0.03675725251155143i
592+0i,0.2951074330800782-0.03675614710104312i
593+0i,0.2948987940389697-0.03675504729927104i
594+0i,0.2946912136103322-0.03675395307777706i
595+0i,0.2944846864228771-0.03675286440824743i
596+0i,0.2942792071325704-0.03675178126251209i
597+0i,0.2940747704224917-0.03675070361254384i
598+0i,0.2938713710026997-0.03674963143045781i
599+0i,0.2936690036100925-0.03674856468851048i
600+0i,0.293467663008274-0.03674750335909919i
601+0i,0.2932673439874152-0.0367464474147613i
602+0i,0.2930680413641228-0.0367453968281735i
603+0i,0.2928697499813018-0.03674435157215116i
604+0i,0.2926724647080261-0.03674331161964755i
605+0i,0.2924761804394011-0.03674227694375315i
606+0i,0.2922808920964359-0.03674124751769502i
607+0i,0.2920865946259072-0.03674022331483605i
608+0i,0.291893283000235-0.03673920430867426i
609+0i,0.2917009522173442-0.03673819047284218i
610+0i,0.2915095973005442-0.03673718178110608i
611+0i,0.2913192132983924-0.03673617820736538i
612+0i,0.29112979528457-0.03673517972565189i
613+0i,0.2909413383577544-0.03673418631012922i
614+0i,0.2907538376414925-0.03673319793509205i
615+0i,0.2905672882840726-0.03673221457496548i
616+0i,0.2903816854583992-0.0367312362043044i
617+0i,0.2901970243618713-0.03673026279779276i
618+0i,0.2900133002162545-0.03672929433024302i
619+0i,0.2898305082675581-0.03672833077659541i
620+0i,0.2896486437859137-0.03672737211191727i
621+0i,0.289467702065452-0.0367264183114025i
622+0i,0.2892876784241798-0.03672546935037089i
623+0i,0.2891085682038593-0.03672452520426737i
624+0i,0.2889303667698903-0.03672358584866151i
625+0i,0.2887530695111855-0.03672265125924683i
626+0i,0.2885766718400565-0.03672172141184019i
627+0i,0.2884011691920896-0.03672079628238113i
628+0i,0.2882265570260333-0.03671987584693131i
629+0i,0.2880528308236743-0.03671896008167377i
630+0i,0.2878799860897286-0.0367180489629125i
631+0i,0.2877080183517161-0.03671714246707165i
632+0i,0.287536923159854-0.03671624057069498i
633+0i,0.2873666960869349-0.03671534325044534i
634+0i,0.2871973327282139-0.03671445048310393i
635+0i,0.2870288287012976-0.03671356224556976i
636+0i,0.2868611796460256-0.03671267851485908i
637+0i,0.2866943812243633-0.03671179926810473i
638+0i,0.286528429120286-0.03671092448255561i
639+0i,0.2863633190396657-0.03671005413557602i
640+0i,0.2861990467101659-0.03670918820464513i
641+0i,0.2860356078811249-0.03670832666735637i
642+0i,0.2858729983234505-0.03670746950141687i
643+0i,0.2857112138295062-0.03670661668464686i
644+0i,0.285550250213006-0.03670576819497913i
645+0i,0.2853901033089048-0.03670492401045841i
646+0i,0.2852307689732893-0.03670408410924082i
647+0i,0.2850722430832739-0.03670324846959335i
648+0i,0.2849145215368903-0.03670241706989325i
649+0i,0.2847576002529843-0.03670158988862746i
650+0i,0.2846014751711073-0.03670076690439209i
651+0i,0.2844461422514152-0.03669994809589187i
652+0i,0.2842915974745607-0.03669913344193954i
653+0i,0.2841378368415903-0.03669832292145535i
654+0i,0.2839848563738402-0.03669751651346657i
655+0i,0.2838326521128359-0.03669671419710678i
656+0i,0.2836812201201841-0.0366959159516155i
657+0i,0.2835305564774778-0.0366951217563376i
658+0i,0.2833806572861906-0.0366943315907227i
659+0i,0.2832315186675767-0.03669354543432472i
660+0i,0.2830831367625706-0.03669276326680131i
661+0i,0.2829355077316873-0.03669198506791333i
662+0i,0.2827886277549224-0.03669121081752439i
663+0i,0.2826424930316553-0.03669044049560018i
664+0i,0.2824970997805479-0.03668967408220811i
665+0i,0.2823524442394491-0.03668891155751668i
666+0i,0.2822085226652961-0.03668815290179504i
667+0i,0.2820653313340167-0.03668739809541244i
668+0i,0.2819228665404378-0.03668664711883775i
669+0i,0.2817811245981831-0.03668589995263895i
670+0i,0.2816401018395804-0.03668515657748254i
671+0i,0.281499794615569-0.03668441697413323i
672+0i,0.281360199295601-0.03668368112345322i
673+0i,0.281221312267551-0.03668294900640188i
674+0i,0.2810831299376197-0.03668222060403519i
675+0i,0.2809456487302449-0.03668149589750522i
676+0i,0.2808088650880032-0.03668077486805968i
677+0i,0.2806727754715229-0.03668005749704142i
678+0i,0.2805373763593916-0.03667934376588801i
679+0i,0.2804026642480623-0.03667863365613112i
680+0i,0.2802686356517656-0.03667792714939616i
681+0i,0.280135287102418-0.03667722422740181i
682+0i,0.2800026151495341-0.03667652487195946i
683+0i,0.2798706163601335-0.03667582906497278i
684+0i,0.2797392873186567-0.03667513678843732i
685+0i,0.2796086246268739-0.03667444802443991i
686+0i,0.2794786249037955-0.03667376275515833i
687+0i,0.2793492847855896-0.03667308096286074i
688+0i,0.2792206009254901-0.0366724026299053i
689+0i,0.2790925699937128-0.03667172773873967i
690+0i,0.2789651886773684-0.03667105627190058i
691+0i,0.2788384536803767-0.03667038821201335i
692+0i,0.2787123617233817-0.03666972354179146i
693+0i,0.2785869095436661-0.03666906224403611i
694+0i,0.278462093895068-0.03666840430163577i
695+0i,0.2783379115478945-0.03666774969756572i
696+0i,0.278214359288842-0.03666709841488761i
697+0i,0.27809143392091-0.03666645043674906i
698+0i,0.2779691322633184-0.03666580574638319i
699+0i,0.2778474511514277-0.03666516432710819i
700+0i,0.2777263874366536-0.03666452616232688i
701+0i,0.2776059379863887-0.0366638912355263i
702+0i,0.2774860996839204-0.03666325953027729i
703+0i,0.277366869428348-0.03666263103023401i
704+0i,0.2772482441345062-0.03666200571913362i
705+0i,0.2771302207328833-0.03666138358079574i
706+0i,0.2770127961695422-0.03666076459912212i
707+0i,0.27689596740604-0.03666014875809617i
708+0i,0.2767797314193509-0.03665953604178258i
709+0i,0.276664085201789-0.03665892643432688i
710+0i,0.2765490257609266-0.03665831991995507i
711+0i,0.2764345501195216-0.03665771648297315i
712+0i,0.2763206553154371-0.03665711610776676i
713+0i,0.2762073384015656-0.03665651877880081i
714+0i,0.2760945964457532-0.036655924480619i
715+0i,0.2759824265307239-0.03665533319784341i
716+0i,0.2758708257540025-0.03665474491517419i
717+0i,0.2757597912278416-0.03665415961738916i
718+0i,0.2756493200791457-0.03665357728934331i
719+0i,0.2755394094493969-0.03665299791596847i
720+0i,0.275430056494581-0.03665242148227298i
721+0i,0.2753212583851145-0.03665184797334123i
722+0i,0.2752130123057706-0.03665127737433323i
723+0i,0.2751053154556071-0.03665070967048439i
724+0i,0.2749981650478928-0.03665014484710494i
725+0i,0.2748915583100362-0.03664958288957971i
726+0i,0.274785492483514-0.03664902378336762i
727+0i,0.2746799648237995-0.03664846751400144i
728+0i,0.2745749726002906-0.0366479140670873i
729+0i,0.2744705130962407-0.03664736342830439i
730+0i,0.2743665836086875-0.03664681558340454i
731+0i,0.2742631814483837-0.03664627051821187i
732+0i,0.2741603039397256-0.03664572821862246i
733+0i,0.2740579484206871-0.03664518867060391i
734+0i,0.2739561122427471-0.03664465186019505i
735+0i,0.2738547927708241-0.03664411777350556i
736+0i,0.2737539873832067-0.03664358639671553i
737+0i,0.2736536934714845-0.03664305771607527i
738+0i,0.2735539084404842-0.03664253171790474i
739+0i,0.2734546297081966-0.03664200838859342i
740+0i,0.2733558547057171-0.03664148771459978i
741+0i,0.2732575808771742-0.03664096968245101i
742+0i,0.2731598056796628-0.0366404542787427i
743+0i,0.2730625265831826-0.03663994149013838i
744+0i,0.2729657410705693-0.03663943130336931i
745+0i,0.2728694466374302-0.03663892370523406i
746+0i,0.2727736407920794-0.03663841868259816i
747+0i,0.2726783210554756-0.0366379162223938i
748+0i,0.2725834849611523-0.03663741631161949i
749+0i,0.2724891300551611-0.03663691893733968i
750+0i,0.272395253896003-0.03663642408668445i
751+0i,0.2723018540545661-0.0366359317468492i
752+0i,0.2722089281140663-0.03663544190509431i
753+0i,0.2721164736699789-0.03663495454874478i
754+0i,0.2720244883299813-0.03663446966518993i
755+0i,0.2719329697138886-0.03663398724188304i
756+0i,0.2718419154535935-0.0366335072663411i
757+0i,0.2717513231930027-0.03663302972614438i
758+0i,0.2716611905879801-0.03663255460893622i
759+0i,0.2715715153062805-0.03663208190242261i
760+0i,0.271482295027494-0.03663161159437196i
761+0i,0.2713935274429845-0.0366311436726147i
762+0i,0.2713052102558278-0.03663067812504304i
763+0i,0.2712173411807564-0.03663021493961063i
764+0i,0.2711299179440961-0.0366297541043322i
765+0i,0.2710429382837095-0.03662929560728333i
766+0i,0.2709563999489396-0.03662883943660009i
767+0i,0.2708703007005443-0.03662838558047875i
768+0i,0.2707846383106466-0.03662793402717544i
769+0i,0.2706994105626732-0.03662748476500594i
770+0i,0.2706146152512963-0.03662703778234526i
771+0i,0.270530250182378-0.03662659306762742i
772+0i,0.2704463131729139-0.0366261506093451i
773+0i,0.2703628020509752-0.03662571039604941i
774+0i,0.2702797146556542-0.0366252724163495i
775+0i,0.2701970488370062-0.03662483665891238i
776+0i,0.2701148024559955-0.03662440311246249i
777+0i,0.2700329733844405-0.03662397176578151i
778+0i,0.2699515595049563-0.03662354260770805i
779+0i,0.2698705587109024-0.03662311562713738i
780+0i,0.2697899689063269-0.03662269081302102i
781+0i,0.2697097880059128-0.03662226815436667i
782+0i,0.2696300139349243-0.0366218476402377i
783+0i,0.2695506446291504-0.03662142925975304i
784+0i,0.2694716780348557-0.0366210130020868i
785+0i,0.2693931121087247-0.03662059885646799i
786+0i,0.2693149448178095-0.03662018681218036i
787+0i,0.2692371741394768-0.03661977685856195i
788+0i,0.2691597980613568-0.0366193689850049i
789+0i,0.2690828145812889-0.03661896318095525i
790+0i,0.2690062217072731-0.0366185594359125i
791+0i,0.2689300174574145-0.03661815773942948i
792+0i,0.2688541998598759-0.03661775808111201i
793+0i,0.2687787669528232-0.03661736045061865i
794+0i,0.2687037167843784-0.03661696483766045i
795+0i,0.2686290474125662-0.03661657123200063i
796+0i,0.2685547569052643-0.03661617962345438i
797+0i,0.2684808433401542-0.03661579000188856i
798+0i,0.2684073048046711-0.03661540235722144i
799+0i,0.2683341393959545-0.03661501667942242i
800+0i,0.268261345220798-0.03661463295851185i
801+0i,0.2681889203956024-0.03661425118456069i
802+0i,0.2681168630463245-0.03661387134769023i
803+0i,0.2680451713084306-0.03661349343807198i
804+0i,0.2679738433268465-0.03661311744592724i
805+0i,0.267902877255912-0.03661274336152694i
806+0i,0.2678322712593301-0.0366123711751914i
807+0i,0.2677620235101217-0.03661200087729003i
808+0i,0.2676921321905777-0.03661163245824115i
809+0i,0.2676225954922108-0.03661126590851162i
810+0i,0.2675534116157113-0.03661090121861671i
811+0i,0.2674845787708981-0.03661053837911985i
812+0i,0.2674160951766727-0.03661017738063229i
813+0i,0.2673479590609767-0.03660981821381293i
814+0i,0.2672801686607377-0.03660946086936812i
815+0i,0.2672127222218342-0.0366091053380513i
816+0i,0.2671456179990424-0.03660875161066284i
817+0i,0.2670788542559932-0.03660839967804982i
818+0i,0.2670124292651286-0.03660804953110572i
819+0i,0.2669463413076559-0.03660770116077026i
820+0i,0.2668805886735032-0.03660735455802911i
821+0i,0.2668151696612749-0.03660700971391367i
822+0i,0.2667500825782096-0.03660666661950089i
823+0i,0.2666853257401322-0.03660632526591292i
824+0i,0.2666208974714163-0.03660598564431702i
825+0i,0.2665567961049347-0.03660564774592528i
826+0i,0.2664930199820202-0.03660531156199428i
827+0i,0.2664295674524202-0.03660497708382507i
828+0i,0.2663664368742584-0.03660464430276277i
829+0i,0.2663036266139851-0.03660431321019646i
830+0i,0.266241135046343-0.0366039837975589i
831+0i,0.2661789605543178-0.03660365605632627i
832+0i,0.2661171015291022-0.03660332997801806i
833+0i,0.2660555563700512-0.03660300555419676i
834+0i,0.2659943234846399-0.03660268277646768i
835+0i,0.2659334012884255-0.03660236163647874i
836+0i,0.2658727882050041-0.03660204212592021i
837+0i,0.2658124826659694-0.0366017242365245i
838+0i,0.2657524831108739-0.03660140796006603i
839+0i,0.2656927879871872-0.03660109328836095i
840+0i,0.2656333957502566-0.03660078021326687i
841+0i,0.2655743048632666-0.03660046872668277i
842+0i,0.2655155137971998-0.03660015882054871i
843+0i,0.2654570210307963-0.03659985048684566i
844+0i,0.2653988250505145-0.03659954371759528i
845+0i,0.2653409243504942-0.0365992385048597i
846+0i,0.2652833174325138-0.0365989348407413i
847+0i,0.2652260028059537-0.0365986327173826i
848+0i,0.2651689789877592-0.03659833212696593i
849+0i,0.265112244502398-0.03659803306171329i
850+0i,0.2650557978818268-0.03659773551388619i
851+0i,0.26499963766545-0.03659743947578534i
852+0i,0.2649437624000823-0.03659714493975057i
853+0i,0.2648881706399138-0.03659685189816057i
854+0i,0.2648328609464677-0.03659656034343263i
855+0i,0.2647778318885675-0.03659627026802262i
856+0i,0.2647230820422985-0.03659598166442462i
857+0i,0.2646686099909696-0.03659569452517079i
858+0i,0.2646144143250794-0.03659540884283125i
859+0i,0.2645604936422769-0.03659512461001375i
860+0i,0.2645068465473268-0.03659484181936354i
861+0i,0.2644534716520737-0.03659456046356324i
862+0i,0.2644003675754041-0.03659428053533257i
863+0i,0.2643475329432153-0.0365940020274282i
864+0i,0.2642949663883717-0.03659372493264353i
865+0i,0.2642426665506793-0.03659344924380856i
866+0i,0.2641906320768418-0.03659317495378963i
867+0i,0.2641388616204324-0.0365929020554893i
868+0i,0.2640873538418537-0.03659263054184614i
869+0i,0.2640361074083065-0.03659236040583456i
870+0i,0.2639851209937531-0.03659209164046455i
871+0i,0.2639343932788853-0.0365918242387817i
872+0i,0.2638839229510876-0.03659155819386674i
873+0i,0.2638337087044055-0.03659129349883559i
874+0i,0.2637837492395113-0.03659103014683907i
875+0i,0.2637340432636667-0.03659076813106281i
876+0i,0.2636845894906978-0.03659050744472694i
877+0i,0.2636353866409521-0.036590248081086i
878+0i,0.2635864334412721-0.03658999003342882i
879+0i,0.2635377286249602-0.0365897332950782i
880+0i,0.2634892709317442-0.03658947785939087i
881+0i,0.2634410591077491-0.03658922371975725i
882+0i,0.2633930919054588-0.03658897086960131i
883+0i,0.2633453680836907-0.03658871930238037i
884+0i,0.2632978864075557-0.03658846901158495i
885+0i,0.2632506456484335-0.0365882199907386i
886+0i,0.2632036445839362-0.03658797223339774i
887+0i,0.2631568819978786-0.03658772573315149i
888+0i,0.263110356680246-0.03658748048362145i
889+0i,0.2630640674271646-0.03658723647846165i
890+0i,0.263018013040867-0.03658699371135827i
891+0i,0.2629721923296637-0.03658675217602955i
892+0i,0.2629266041079121-0.03658651186622558i
893+0i,0.262881247195985-0.03658627277572819i
894+0i,0.2628361204202419-0.03658603489835075i
895+0i,0.2627912226129953-0.03658579822793801i
896+0i,0.2627465526124823-0.03658556275836596i
897+0i,0.2627021092628374-0.03658532848354167i
898+0i,0.2626578914140567-0.0365850953974031i
899+0i,0.2626138979219731-0.036584863493919i
900+0i,0.2625701276482243-0.03658463276708868i
901+0i,0.2625265794602246-0.03658440321094196i
902+0i,0.2624832522311333-0.0365841748195389i
903+0i,0.262440144839829-0.03658394758696969i
904+0i,0.2623972561708776-0.03658372150735457i
905+0i,0.2623545851145058-0.03658349657484353i
906+0i,0.2623121305665691-0.03658327278361632i
907+0i,0.2622698914285267-0.03658305012788218i
908+0i,0.2622278666074126-0.03658282860187972i
909+0i,0.2621860550158042-0.03658260819987683i
910+0i,0.2621444555717982-0.03658238891617042i
911+0i,0.26210306719898-0.0365821707450864i
912+0i,0.2620618888263962-0.03658195368097942i
913+0i,0.2620209193885283-0.03658173771823281i
914+0i,0.2619801578252629-0.03658152285125837i
915+0i,0.2619396030818673-0.03658130907449628i
916+0i,0.2618992541089588-0.03658109638241493i
917+0i,0.2618591098624793-0.03658088476951073i
918+0i,0.2618191693036685-0.03658067423030808i
919+0i,0.2617794313990368-0.03658046475935911i
920+0i,0.2617398951203391-0.03658025635124363i
921+0i,0.2617005594445463-0.03658004900056892i
922+0i,0.2616614233538191-0.03657984270196965i
923+0i,0.2616224858354857-0.03657963745010771i
924+0i,0.2615837458820103-0.03657943323967203i
925+0i,0.2615452024909686-0.03657923006537854i
926+0i,0.2615068546650246-0.03657902792196999i
927+0i,0.2614687014119025-0.03657882680421574i
928+0i,0.2614307417443586-0.03657862670691177i
929+0i,0.2613929746801607-0.03657842762488038i
930+0i,0.2613553992420602-0.0365782295529702i
931+0i,0.2613180144577652-0.03657803248605598i
932+0i,0.2612808193599205-0.03657783641903849i
933+0i,0.2612438129860744-0.03657764134684435i
934+0i,0.261206994378664-0.03657744726442592i
935+0i,0.2611703625849808-0.03657725416676121i
936+0i,0.2611339166571519-0.03657706204885364i
937+0i,0.2610976556521136-0.03657687090573209i
938+0i,0.2610615786315866-0.03657668073245054i
939+0i,0.2610256846620535-0.03657649152408813i
940+0i,0.2609899728147336-0.03657630327574901i
941+0i,0.2609544421655577-0.03657611598256208i
942+0i,0.2609190917951427-0.03657592963968101i
943+0i,0.260883920788778-0.03657574424228404i
944+0i,0.2608489282363853-0.03657555978557389i
945+0i,0.2608141132325109-0.03657537626477764i
946+0i,0.2607794748762906-0.0365751936751465i
947+0i,0.2607450122714329-0.0365750120119559i
948+0i,0.2607107245261944-0.03657483127050516i
949+0i,0.2606766107533569-0.03657465144611743i
950+0i,0.2606426700702004-0.03657447253413969i
951+0i,0.260608901598488-0.03657429452994244i
952+0i,0.2605753044644369-0.03657411742891968i
953+0i,0.2605418777986961-0.03657394122648882i
954+0i,0.2605086207363298-0.03657376591809049i
955+0i,0.2604755324167871-0.03657359149918847i
956+0i,0.2604426119838853-0.03657341796526955i
957+0i,0.2604098585857839-0.03657324531184342i
958+0i,0.2603772713749684-0.03657307353444255i
959+0i,0.2603448495082201-0.03657290262862206i
960+0i,0.2603125921466005-0.03657273258995968i
961+0i,0.2602804984554293-0.03657256341405554i
962+0i,0.2602485676042592-0.03657239509653204i
963+0i,0.2602167987668569-0.0365722276330339i
964+0i,0.2601851911211833-0.03657206101922788i
965+0i,0.2601537438493663-0.03657189525080273i
966+0i,0.260122456137687-0.03657173032346905i
967+0i,0.2600913271765539-0.03657156623295928i
968+0i,0.2600603561604836-0.03657140297502742i
969+0i,0.2600295422880798-0.03657124054544906i
970+0i,0.2599988847620122-0.03657107894002124i
971+0i,0.259968382788995-0.03657091815456232i
972+0i,0.2599380355797695-0.03657075818491182i
973+0i,0.2599078423490793-0.03657059902693045i
974+0i,0.2598778023156557-0.03657044067649988i
975+0i,0.2598479147021895-0.03657028312952269i
976+0i,0.2598181787353198-0.03657012638192222i
977+0i,0.259788593645607-0.03656997042964253i
978+0i,0.2597591586675156-0.03656981526864824i
979+0i,0.259729873039397-0.03656966089492446i
980+0i,0.2597007360034633-0.03656950730447667i
981+0i,0.2596717468057739-0.03656935449333057i
982+0i,0.2596429046962145-0.03656920245753212i
983+0i,0.2596142089284739-0.03656905119314725i
984+0i,0.2595856587600299-0.0365689006962619i
985+0i,0.2595572534521268-0.03656875096298188i
986+0i,0.2595289922697571-0.03656860198943269i
987+0i,0.259500874481644-0.03656845377175957i
988+0i,0.2594728993602198-0.0365683063061273i
989+0i,0.2594450661816075-0.03656815958872007i
990+0i,0.2594173742256063-0.03656801361574146i
991+0i,0.2593898227756675-0.03656786838341435i
992+0i,0.2593624111188754-0.03656772388798074i
993+0i,0.2593351385459368-0.03656758012570169i
994+0i,0.2593080043511552-0.03656743709285727i
995+0i,0.2592810078324137-0.03656729478574643i
996+0i,0.2592541482911576-0.03656715320068682i
997+0i,0.2592274250323796-0.03656701233401487i
998+0i,0.2592008373645946-0.03656687218208553i
999+0i,0.2591743845998297-0.0365667327412723i
1000+0i,0.2591480660536009-0.03656659400796703i
1001+0i,0.2591218810448981-0.03656645597857992i
1002+0i,0.2590958288961646-0.03656631864953933i
1003+0i,0.259069908933284-0.03656618201729182i
1004+0i,0.2590441204855588-0.03656604607830187i
1005+0i,0.2590184628856951-0.03656591082905203i
1006+0i,0.2589929354697848-0.03656577626604262i
1007+0i,0.2589675375772879-0.0365656423857917i
1008+0i,0.2589422685510172-0.03656550918483505i
1009+0i,0.2589171277371177-0.03656537665972597i
1010+0i,0.2588921144850539-0.03656524480703533i
1011+0i,0.2588672281475913-0.03656511362335131i
1012+0i,0.2588424680807779-0.03656498310527946i
1013+0i,0.2588178336439294-0.03656485324944252i
1014+0i,0.2587933241996132-0.03656472405248041i
1015+0i,0.2587689391136304-0.03656459551105002i
1016+0i,0.2587446777549994-0.0365644676218253i
1017+0i,0.2587205394959413-0.036564340381497i
1018+0i,0.2586965237118618-0.03656421378677269i
1019+0i,0.2586726297813356-0.03656408783437665i
1020+0i,0.2586488570860906-0.03656396252104979i
1021+0i,0.2586252050109917-0.03656383784354949i
1022+0i,0.258601672944025-0.03656371379864969i
1023+0i,0.2585782602762818-0.0365635903831406i
1024+0i,0.2585549664019442-0.03656346759382878i
1025+0i,0.2585317907182654-0.03656334542753698i
1026+0i,0.2585087326255593-0.03656322388110404i
1027+0i,0.2584857915271817-0.03656310295138486i
1028+0i,0.2584629668295148-0.03656298263525032i
1029+0i,0.2584402579419556-0.03656286292958716i
1030+0i,0.2584176642768942-0.03656274383129789i
1031+0i,0.2583951852497037-0.03656262533730074i
1032+0i,0.2583728202787247-0.03656250744452965i
1033+0i,0.2583505687852485-0.03656239014993403i
1034+0i,0.2583284301935002-0.03656227345047881i
1035+0i,0.2583064039306298-0.0365621573431443i
1036+0i,0.2582844894266931-0.03656204182492616i
1037+0i,0.2582626861146347-0.03656192689283524i
1038+0i,0.2582409934302801-0.03656181254389765i
1039+0i,0.2582194108123166-0.03656169877515447i
1040+0i,0.2581979377022781-0.0365615855836619i
1041+0i,0.2581765735445333-0.03656147296649102i
1042+0i,0.2581553177862696-0.03656136092072776i
1043+0i,0.2581341698774806-0.03656124944347287i
1044+0i,0.2581131292709468-0.03656113853184183i
1045+0i,0.2580921954222305-0.03656102818296469i
1046+0i,0.2580713677896529-0.0365609183939861i
1047+0i,0.2580506458342841-0.03656080916206519i
1048+0i,0.2580300290199293-0.03656070048437553i
1049+0i,0.2580095168131145-0.03656059235810499i
1050+0i,0.2579891086830718-0.03656048478045573i
1051+0i,0.257968804101726-0.0365603777486441i
1052+0i,0.2579486025436832-0.03656027125990061i
1053+0i,0.2579285034862129-0.03656016531146974i
1054+0i,0.2579085064092391-0.03656005990061002i
1055+0i,0.2578886107953236-0.03655995502459389i
1056+0i,0.2578688161296512-0.03655985068070759i
1057+0i,0.2578491219000246-0.03655974686625115i
1058+0i,0.2578295275968384-0.03655964357853831i
1059+0i,0.2578100327130791-0.03655954081489642i
1060+0i,0.2577906367443027-0.0365594385726664i
1061+0i,0.257771339188624-0.03655933684920266i
1062+0i,0.257752139546705-0.03655923564187303i
1063+0i,0.2577330373217434-0.03655913494805874i
1064+0i,0.2577140320194544-0.0365590347651542i
1065+0i,0.2576951231480633-0.03655893509056714i
1066+0i,0.257676310218289-0.03655883592171845i
1067+0i,0.2576575927433349-0.03655873725604199i
1068+0i,0.2576389702388728-0.03655863909098478i
1069+0i,0.2576204422230327-0.0365585414240067i
1070+0i,0.2576020082163888-0.03655844425258056i
1071+0i,0.2575836677419491-0.03655834757419198i
1072+0i,0.2575654203251402-0.03655825138633934i
1073+0i,0.2575472654937985-0.0365581556865337i
1074+0i,0.2575292027781541-0.03655806047229878i
1075+0i,0.2575112317108232-0.03655796574117082i
1076+0i,0.2574933518267891-0.03655787149069863i
1077+0i,0.2574755626634008-0.03655777771844339i
1078+0i,0.2574578637603484-0.03655768442197865i
1079+0i,0.257440254659663-0.03655759159889034i
1080+0i,0.2574227349056952-0.03655749924677656i
1081+0i,0.2574053040451094-0.03655740736324768i
1082+0i,0.2573879616268708-0.03655731594592612i
1083+0i,0.2573707072022312-0.03655722499244641i
1084+0i,0.2573535403247205-0.03655713450045502i
1085+0i,0.2573364605501344-0.03655704446761047i
1086+0i,0.2573194674365222-0.03655695489158307i
1087+0i,0.2573025605441738-0.03655686577005497i
1088+0i,0.2572857394356136-0.03655677710072009i
1089+0i,0.2572690036755816-0.03655668888128406i
1090+0i,0.2572523528310299-0.03655660110946415i
1091+0i,0.2572357864711055-0.03655651378298918i
1092+0i,0.2572193041671421-0.03655642689959952i
1093+0i,0.2572029054926497-0.036556340457047i
1094+0i,0.2571865900233005-0.03655625445309489i
1095+0i,0.2571703573369208-0.03655616888551773i
1096+0i,0.2571542070134782-0.03655608375210145i
1097+0i,0.2571381386350718-0.03655599905064312i
1098+0i,0.2571221517859212-0.03655591477895105i
1099+0i,0.2571062460523557-0.03655583093484464i
1100+0i,0.2570904210228024-0.03655574751615438i
1101+0i,0.2570746762877798-0.03655566452072177i
1102+0i,0.2570590114398804-0.0365555819463992i
1103+0i,0.2570434260737656-0.03655549979105005i
1104+0i,0.2570279197861535-0.03655541805254846i
1105+0i,0.2570124921758073-0.03655533672877938i
1106+0i,0.2569971428435279-0.03655525581763854i
1107+0i,0.2569818713921393-0.03655517531703228i
1108+0i,0.2569666774264837-0.03655509522487759i
1109+0i,0.2569515605534068-0.03655501553910206i
1110+0i,0.2569365203817474-0.03655493625764373i
1111+0i,0.256921556522331-0.03655485737845113i
1112+0i,0.2569066685879576-0.03655477889948325i
1113+0i,0.2568918561933921-0.03655470081870938i
1114+0i,0.2568771189553529-0.03655462313410909i
1115+0i,0.2568624564925038-0.03655454584367229i
1116+0i,0.2568478684254436-0.03655446894539897i
1117+0i,0.2568333543766951-0.03655439243729941i
1118+0i,0.2568189139706989-0.03655431631739384i
1119+0i,0.2568045468337984-0.03655424058371265i
1120+0i,0.2567902525942332-0.03655416523429616i
1121+0i,0.2567760308821303-0.03655409026719467i
1122+0i,0.2567618813294936-0.03655401568046832i
1123+0i,0.2567478035701939-0.03655394147218716i
1124+0i,0.2567337972399588-0.03655386764043098i
1125+0i,0.2567198619763648-0.03655379418328933i
1126+0i,0.2567059974188267-0.03655372109886146i
1127+0i,0.2566922032085902-0.03655364838525627i
1128+0i,0.2566784789887206-0.03655357604059224i
1129+0i,0.256664824404094-0.0365535040629974i
1130+0i,0.2566512391013876-0.03655343245060926i
1131+0i,0.2566377227290739-0.03655336120157484i
1132+0i,0.2566242749374061-0.0365532903140505i
1133+0i,0.2566108953784138-0.03655321978620196i
1134+0i,0.2565975837058918-0.03655314961620429i
1135+0i,0.2565843395753901-0.03655307980224177i
1136+0i,0.256571162644209-0.03655301034250794i
1137+0i,0.2565580525713859-0.03655294123520546i
1138+0i,0.2565450090176887-0.03655287247854614i
1139+0i,0.2565320316456059-0.03655280407075084i
1140+0i,0.2565191201193386-0.0365527360100495i
1141+0i,0.2565062741047932-0.03655266829468094i
1142+0i,0.2564934932695689-0.03655260092289303i
1143+0i,0.2564807772829534-0.03655253389294246i
1144+0i,0.2564681258159122-0.03655246720309478i
1145+0i,0.2564555385410796-0.03655240085162435i
1146+0i,0.2564430151327499-0.03655233483681426i
1147+0i,0.2564305552668729-0.03655226915695638i
1148+0i,0.2564181586210398-0.03655220381035115i
1149+0i,0.2564058248744789-0.03655213879530769i
1150+0i,0.2563935537080458-0.03655207411014369i
1151+0i,0.2563813448042168-0.0365520097531854i
1152+0i,0.2563691978470762-0.03655194572276753i
1153+0i,0.2563571125223137-0.03655188201723324i
1154+0i,0.2563450885172139-0.03655181863493408i
1155+0i,0.2563331255206476-0.03655175557423004i
1156+0i,0.2563212232230619-0.03655169283348934i
1157+0i,0.2563093813164777-0.03655163041108855i
1158+0i,0.2562975994944774-0.03655156830541242i
1159+0i,0.2562858774521984-0.03655150651485394i
1160+0i,0.2562742148863242-0.03655144503781423i
