#Pareto - Cost J(iterations) convergence
#iterations, J(iterations)
103+0i,0.7486852410411443-0.03914709787574352i
104+0i,0.7461751960823261-0.03913386664213049i
105+0i,0.7436778868266651-0.03912070254240012i
106+0i,0.7411932486545522-0.03910760523592217i
107+0i,0.7387212172742451-0.03909457438379473i
108+0i,0.7362617287202134-0.03908160964883543i
109+0i,0.7338147193514791-0.03906871069557276i
110+0i,0.7313801258499755-0.03905587719023731i
111+0i,0.7289578852188977-0.03904310880075325i
112+0i,0.7265479347810904-0.03903040519672959i
113+0i,0.724150212177414-0.03901776604945173i
114+0i,0.7217646553651215-0.03900519103187297i
115+0i,0.7193912026162731-0.038992679818606i
116+0i,0.7170297925161289-0.03898023208591442i
117+0i,0.7146803639615642-0.03896784751170456i
118+0i,0.712342856159474-0.03895552577551691i
119+0i,0.7100172086252282-0.03894326655851798i
120+0i,0.707703361181074-0.03893106954349203i
121+0i,0.7054012539545946-0.03891893441483278i
122+0i,0.703110827377178-0.03890686085853537i
123+0i,0.7008320221824316-0.03889484856218812i
124+0i,0.6985647794046952-0.0388828972149645i
125+0i,0.6963090403774821-0.03887100650761512i
126+0i,0.6940647467319704-0.03885917613245964i
127+0i,0.6918318403955149-0.03884740578337887i
128+0i,0.6896102635900999-0.03883569515580686i
129+0i,0.6873999588308871-0.03882404394672297i
130+0i,0.6852008689246968-0.03881245185464407i
131+0i,0.6830129369685577-0.03880091857961671i
132+0i,0.6808361063482048-0.03878944382320936i
133+0i,0.6786703207366327-0.03877802728850477i
134+0i,0.6765155240926303-0.03876666868009212i
135+0i,0.6743716606593392-0.03875536770405955i
136+0i,0.6722386749628048-0.0387441240679864i
137+0i,0.670116511810531-0.03873293748093583i
138+0i,0.668005116290077-0.03872180765344709i
139+0i,0.6659044337676123-0.03871073429752814i
140+0i,0.6638144098865204-0.03869971712664824i
141+0i,0.6617349905659747-0.0386887558557304i
142+0i,0.65966612199956-0.03867785020114411i
143+0i,0.6576077506538571-0.03866699988069799i
144+0i,0.6555598232670815-0.03865620461363245i
145+0i,0.653522286847688-0.03864546412061245i
146+0i,0.6514950886729992-0.03863477812372026i
147+0i,0.6494781762878596-0.03862414634644829i
148+0i,0.6474714975032544-0.03861356851369188i
149+0i,0.645475000394978-0.03860304435174232i
150+0i,0.6434886333022748-0.03859257358827949i
151+0i,0.6415123448265194-0.03858215595236521i
152+0i,0.6395460838298759-0.03857179117443588i
153+0i,0.6375897994339661-0.03856147898629562i
154+0i,0.6356434410185769-0.03855121912110945i
155+0i,0.6337069582203257-0.0385410113133962i
156+0i,0.631780300931378-0.03853085529902173i
157+0i,0.6298634192981377-0.03852075081519214i
158+0i,0.6279562637199557-0.03851069760044686i
159+0i,0.6260587848478574-0.03850069539465197i
160+0i,0.6241709335832605-0.03849074393899344i
161+0i,0.6222926610766945-0.03848084297597045i
162+0i,0.6204239187265559-0.03847099224938869i
163+0i,0.6185646581778358-0.03846119150435377i
164+0i,0.6167148313208758-0.03845144048726457i
165+0i,0.6148743902901197-0.03844173894580676i
166+0i,0.6130432874628763-0.0384320866289462i
167+0i,0.6112214754580853-0.03842248328692251i
168+0i,0.6094089071350954-0.0384129286712425i
169+0i,0.6076055355924421-0.03840342253467386i
170+0i,0.6058113141666311-0.0383939646312387i
171+0i,0.6040261964309358-0.03838455471620718i
172+0i,0.6022501361941932-0.03837519254609123i
173+0i,0.600483087499611-0.03836587787863816i
174+0i,0.5987250046235737-0.03835661047282449i
175+0i,0.5969758420744647-0.03834739008884965i
176+0i,0.5952355545914901-0.03833821648812981i
177+0i,0.5935040971434971-0.03832908943329161i
178+0i,0.5917814249278218-0.03832000868816624i
179+0i,0.5900674933691189-0.03831097401778306i
180+0i,0.5883622581182293-0.03830198518836369i
181+0i,0.5866656750509899-0.03829304196731594i
182+0i,0.5849777002671445-0.03828414412322773i
183+0i,0.583298290089168-0.03827529142586115i
184+0i,0.5816274010611578-0.03826648364614654i
185+0i,0.5799649899476946-0.03825772055617642i
186+0i,0.5783110137327362-0.03824900192919978i
187+0i,0.5766654296184976-0.0382403275396161i
188+0i,0.5750281950243475-0.03823169716296948i
189+0i,0.5733992675856977-0.03822311057594293i
190+0i,0.5717786051529242-0.03821456755635256i
191+0i,0.5701661657902538-0.03820606788314178i
192+0i,0.5685619077747019-0.03819761133637564i
193+0i,0.566965789594974-0.03818919769723512i
194+0i,0.5653777699504033-0.03818082674801146i
195+0i,0.5637978077498794-0.03817249827210051i
196+0i,0.562225862110776-0.03816421205399717i
197+0i,0.5606618923579103-0.03815596787928979i
198+0i,0.5591058580224801-0.03814776553465463i
199+0i,0.557557718841009-0.03813960480785029i
200+0i,0.5560174347543246-0.03813148548771231i
201+0i,0.5544849659065022-0.03812340736414764i
202+0i,0.5529602726438445-0.03811537022812918i
203+0i,0.5514433155138554-0.0381073738716905i
204+0i,0.5499340552642138-0.03809941808792029i
205+0i,0.5484324528417592-0.03809150267095711i
206+0i,0.546938469391485-0.03808362741598403i
207+0i,0.5454520662555348-0.03807579211922339i
208+0i,0.5439732049721901-0.03806799657793141i
209+0i,0.542501847274888-0.03806024059039303i
210+0i,0.5410379550912252-0.0380525239559167i
211+0i,0.5395814905419709-0.03804484647482914i
212+0i,0.5381324159400956-0.03803720794847018i
213+0i,0.5366906937897871-0.03802960817918764i
214+0i,0.5352562867854777-0.03802204697033221i
215+0i,0.5338291578108934-0.03801452412625233i
216+0i,0.5324092699380769-0.03800703945228919i
217+0i,0.5309965864264449-0.03799959275477168i
218+0i,0.5295910707218248-0.03799218384101128i
219+0i,0.5281926864555229-0.03798481251929722i
220+0i,0.5268013974433751-0.03797747859889142i
221+0i,0.5254171676848097-0.03797018189002357i
222+0i,0.5240399613619214-0.03796292220388629i
223+0i,0.5226697428385351-0.03795569935263012i
224+0i,0.5213064766592947-0.03794851314935878i
225+0i,0.5199501275487414-0.03794136340812427i
226+0i,0.5186006604103985-0.03793424994392204i
227+0i,0.5172580403258641-0.03792717257268627i
228+0i,0.5159222325539125-0.03792013111128507i
229+0i,0.5145932025295873-0.03791312537751571i
230+0i,0.5132709158633121-0.03790615519009998i
231+0i,0.5119553383400005-0.03789922036867943i
232+0i,0.5106464359181675-0.03789232073381071i
233+0i,0.5093441747290561-0.03788545610696097i
234+0i,0.5080485210757508-0.03787862631050326i
235+0i,0.5067594414323132-0.03787183116771182i
236+0i,0.5054769024429092-0.03786507050275758i
237+0i,0.504200870920954-0.03785834414070367i
238+0i,0.5029313138482405-0.03785165190750079i
239+0i,0.5016681983740994-0.03784499362998274i
240+0i,0.5004114918145405-0.03783836913586197i
241+0i,0.4991611616514058-0.03783177825372507i
242+0i,0.4979171755315329-0.03782522081302842i
243+0i,0.4966795012659154-0.03781869664409365i
244+0i,0.4954481068288727-0.03781220557810335i
245+0i,0.4942229603572187-0.03780574744709669i
246+0i,0.4930040301494348-0.03779932208396504i
247+0i,0.4917912846648529-0.03779292932244766i
248+0i,0.4905846925228404-0.03778656899712737i
249+0i,0.4893842225019918-0.03778024094342639i
250+0i,0.4881898435393039-0.03777394499760188i
251+0i,0.4870015247293936-0.03776768099674188i
252+0i,0.4858192353236866-0.03776144877876101i
253+0i,0.4846429447296214-0.0377552481823963i
254+0i,0.4834726225098595-0.03774907904720303i
255+0i,0.4823082383815007-0.03774294121355047i
256+0i,0.4811497622152974-0.03773683452261799i
257+0i,0.4799971640348718-0.03773075881639065i
258+0i,0.4788504140159447-0.03772471393765538i
259+0i,0.4777094824855626-0.03771869972999668i
260+0i,0.4765743399213275-0.0377127160377928i
261+0i,0.4754449569506383-0.03770676270621152i
262+0i,0.4743213043499245-0.03770083958120624i
263+0i,0.4732033530438911-0.03769494650951199i
264+0i,0.4720910741047742-0.03768908333864145i
265+0i,0.4709844387515823-0.03768324991688098i
266+0i,0.4698834183493554-0.03767744609328675i
267+0i,0.4687879844084246-0.03767167171768077i
268+0i,0.467698108583677-0.03766592664064708i
269+0i,0.4666137626738135-0.03766021071352781i
270+0i,0.4655349186206356-0.03765452378841935i
271+0i,0.4644615485082986-0.03764886571816858i
272+0i,0.4633936245626062-0.03764323635636901i
273+0i,0.4623311191502844-0.03763763555735696i
274+0i,0.4612740047782656-0.03763206317620788i
275+0i,0.4602222540929811-0.03762651906873251i
276+0i,0.4591758398796509-0.03762100309147326i
277+0i,0.4581347350615802-0.03761551510170035i
278+0i,0.4570989126994536-0.03761005495740821i
279+0i,0.4560683459906525-0.03760462251731185i
280+0i,0.4550430082685454-0.03759921764084308i
281+0i,0.4540228730018041-0.03759384018814697i
282+0i,0.4530079137937205-0.03758849002007821i
283+0i,0.4519981043815195-0.03758316699819745i
284+0i,0.4509934186356799-0.0375778709847678i
285+0i,0.4499938305592589-0.03757260184275126i
286+0i,0.448999314287223-0.03756735943580512i
287+0i,0.4480098440857672-0.0375621436282784i
288+0i,0.4470253943516655-0.03755695428520851i
289+0i,0.4460459396115957-0.03755179127231754i
290+0i,0.445071454521485-0.03754665445600899i
291+0i,0.4441019138658547-0.03754154370336415i
292+0i,0.4431372925571659-0.03753645888213871i
293+0i,0.4421775656351729-0.03753139986075944i
294+0i,0.4412227082662709-0.03752636650832059i
295+0i,0.4402726957428637-0.03752135869458071i
296+0i,0.4393275034827169-0.03751637628995911i
297+0i,0.4383871070283232-0.03751141916553262i
298+0i,0.4374514820462704-0.03750648719303219i
