#Pareto - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
-10.86844345639156+0i,-0.003541393696758663+0i,-10.86844345639156+0i,0.241178895325024+0i
-10.86844345639156+0i,-0.003541393696758663+0i,-10.86844345639156+0i,0.241178895325024+0i
-10.86844345639156+0i,-0.003541393696758663+0i,-10.86844345639156+0i,0.241178895325024+0i
-10.86844345639156+0i,-0.003541393696758663+0i,-10.86844345639156+0i,0.241178895325024+0i
-10.86844345639156+0i,-0.003541393696758663+0i,-10.86844345639156+0i,0.241178895325024+0i
-10.86844345639156+0i,-0.003541393696758663+0i,-10.86844345639156+0i,0.241178895325024+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.8172814042117+0i,-0.004428705201292925+0i,-10.8172814042117+0i,0.228293007070492+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
-10.76860999783588+0i,-0.006650434619955715+0i,-10.76860999783588+0i,0.2160344232759108+0i
