#Hurst Exponent
#Distribution, Hust, Error
Original       ,0.813292,0.000000
Weibull        ,0.768669,0.001901
Normal         ,0.887782,0.000266
Exponential(LR),0.832327,0.001301
Exponential(Me),0.832327,0.001301
Pareto(LR)     ,0.774376,0.002659
Pareto(MLH)    ,0.862556,0.000865
Cauchy         ,0.647366,0.018983
