#Hurst Exponent
#Distribution, Hust, Error
Original       ,0.813292,0.000000
Weibull        ,0.769226,0.002341
Normal         ,0.887687,0.000281
Exponential(LR),0.831891,0.001157
Exponential(Me),0.831891,0.001157
Pareto(LR)     ,0.776240,0.001439
Pareto(MLH)    ,0.861922,0.000825
Cauchy         ,0.642788,0.019975
