#Hurst Exponent
#Distribution, Hust, Error
Original       ,0.813292,0.000000
Weibull        ,0.767144,0.001825
Normal         ,0.887837,0.000248
Exponential(LR),0.832152,0.001244
Exponential(Me),0.832152,0.001244
Pareto(LR)     ,0.775416,0.001700
Pareto(MLH)    ,0.862792,0.000857
Cauchy         ,0.663260,0.015062
