#Standard Deviation
#Distribution, StdDev, Error
Original       ,0.205602,0.000000
Weibull        ,0.134954,0.004403
Normal         ,0.138404,0.001012
Exponential(LR),0.718062,0.001717
Exponential(Me),0.359409,0.004642
Pareto(LR)     ,0.301763,0.004984
Pareto(MLH)    ,0.645464,0.005165
Cauchy         ,0.000416,0.000274
