#Mean
#Distribution, Mean, Error
Original       ,0.054792,0.000000
Weibull        ,0.026071,0.000787
Normal         ,0.112658,0.000985
Exponential(LR),1.270743,0.004403
Exponential(Me),1.894317,0.002477
Pareto(LR)     ,0.053576,0.001605
Pareto(MLH)    ,0.259733,0.004309
Cauchy         ,0.005757,0.000006
