#Hurst Exponent
#Distribution, Hust, Error
Original       ,0.801821,0.000000
Weibull        ,0.781043,0.002877
Normal         ,0.884247,0.000273
Exponential(LR),0.898064,0.000160
Exponential(Me),0.898064,0.000160
Pareto(LR)     ,0.715591,0.004403
Pareto(MLH)    ,0.878738,0.000596
Cauchy         ,0.649884,0.021156
